ID,AWQ_Station_ID,CL,L,H,R,CL_GRP
S16143_2011,16143,19,0.593023256,0.139534884,1.904761905,M
S16144_2013,16144,17.7,0.508333333,0.221666667,3.03652968,M
S16191_2015,16191,49.23333333,0.579470199,0.099337748,1.463414634,H
S16239_2012,16239,16.4,0.264021888,0.012311902,0.445544554,M
S16258_2012,16258,14.5,0.808108108,0,0,L
S16268_2015,16268,45.76666667,0.165845649,0.095238095,3.647798742,H
S16311_2012,16311,8.6,0.060842434,0.118564743,6.608695652,L
S16335_2011,16335,22.75,0.524115756,0.217041801,2.928416486,M
S16370_2010,16370,21.84285714,0.352365416,0.10766721,2.340425532,M
S16385_2012,16385,11.95,0.470246734,0.271407837,3.659491194,L
S16387_2011,16387,10.16666667,0.548760331,0,0,L
S16428_2013,16428,17.7,0.468333333,0.248333333,3.465116279,M
S16440_2012,16440,13.3,0.024691358,0.75154321,9.681908549,L
S16505_2012,16505,12.55,0.552469136,0.007716049,0.137741047,L
S16524_2015,16524,9.166666667,0.037520392,0.662316476,9.463869464,L
S16583_2013,16583,22.2,0.176666667,0.468333333,7.260981912,M
S16588_2013,16588,41.3,0.288333333,0.436666667,6.022988506,M
S16599_2015,16599,39.3,0.058536585,0.273170732,8.235294118,M
S16603_2012,16603,30.05,0.711934156,0.027434842,0.371057514,M
S16679_2014,16679,26.35,0.077922078,0.225649351,7.43315508,M
S16758_2012,16758,2.75,0.944444444,0.003003003,0.031695721,L
S16833_2014,16833,4.8,0.111570248,0.157024793,5.846153846,L
S16846_2012,16846,20.75,0.868253968,0,0,M
S16851_2013,16851,23.75,0.098333333,0.173333333,6.380368098,M
S16881_2013,16881,31.1,0.485,0.105,1.779661017,M
S16885_2014,16885,21.25,0.073333333,0.011666667,1.37254902,M
S16928_2014,16928,11,0.053658537,0.120325203,6.91588785,L
S16972_2015,16972,12.8,0.50330033,0.077557756,1.335227273,L
S16984_2015,16984,35.5,0.291181364,0.173044925,3.727598566,M
S17061_2013,17061,9.8,0.486666667,0.006666667,0.135135135,L
S17181_2015,17181,31.9,0.448613377,0.261011419,3.67816092,M
S17201_2013,17201,6.425,0.495,0.035,0.660377358,L
S17271_2012,17271,18.1,0.155115512,0.211221122,5.765765766,M
S17295_2014,17295,21.7,0.705024311,0.016207455,0.224719101,M
S17342_2015,17342,58.03333333,0.173333333,0.23,5.702479339,H
S17398_2012,17398,6.5,0.02533532,0.876304024,9.719008264,L
S17530_2011,17530,29.1,0.285240464,0.535655058,6.525252525,M
S17565_2014,17565,50.4,0.323101777,0.024232633,0.697674419,H
S17568_2014,17568,31.1,0.132398754,0.03271028,1.981132075,M
S17612_2011,17612,28.8,0.450657895,0.327302632,4.207188161,M
S17816_2014,17816,25.7,0.054698457,0.081346424,5.979381443,M
S17852_2014,17852,12.85,0.6544,0.0048,0.072815534,L
S18158_2012,18158,46.8,0.03626943,0.647668394,9.46969697,H
S18159_2012,18159,14.8,0.044094488,0.061417323,5.820895522,M
S18463_2013,18463,71.2,0.018333333,0.488333333,9.638157895,H
S18874_2015,18874,28.73333333,0.275577558,0.132013201,3.238866397,M
S18875_2015,18875,31.1,0.006430868,0.192926045,9.677419355,M
S18876_2015,18876,78.23333333,0.375,0.196666667,3.440233236,H
S18877_2015,18877,46.06666667,0.511666667,0.051666667,0.917159763,H
S18881_2015,18881,35.45,0.073770492,0.603278689,8.910411622,M
S18882_2015,18882,53.13333333,0.861157025,0.044628099,0.49270073,H
S18883_2015,18883,21.13333333,0.761589404,0.006622517,0.086206897,M
S18884_2015,18884,22.4,0.088333333,0.086666667,4.952380952,M
